,$rt_add,$rt_concatRope,$rt_div,$rt_eq,$rt_extArrTbl,$rt_getProp,$rt_gt,$rt_hasOwnProp,$rt_in,$rt_instanceof,$rt_intToStr,$rt_lt,$rt_mod,$rt_ns,$rt_numToStr,$rt_objGetProp,$rt_objSetProp,$rt_se,$rt_setArrElem,$rt_setArrLength,$rt_setProp,$rt_strToInt,$rt_strcat,$rt_toInt32,$rt_toNumber,$rt_toPrim,$rt_toString,$rt_toUint32,$rt_typeof,code size (bytes),comp time (ms),exec time (ms),gc time (ms),involuntary context sw,is_array,is_closure,is_const,is_float64,is_int32,is_int64,is_object,is_rawptr,is_refptr,is_rope,is_string,max versions,num blocks,num call apply,num call fast,num call slow,num get prop,num get prop cache upd,num get prop host,num heap allocs,num set prop,num set prop cache upd,num set prop host,num shape flips,num shape known,num shape tests,num shapes,num versions,page faults,page reclaims,peak mem usage (KB),total prim calls,total time (ms),total type tests,voluntary context sw,wall time (ms)
partial-sums,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,31829,0,1,29,0,0,0,0,0,76,0,0,463128,423,31,0,2,32095,159676,64669,1225724,1379793,0,161620,0,32017,31836,32654,1,3636,0,0,127152,700054,546,1,451,349886,413,126,0,0,0,1115,3636,0,67470,268292,33016,455,3120084,0,589
v8-crypto,477,3,147,9279,318,64227,0,712,332,0,0,0,7,10,0,5,28,106571,75604,1,148687,0,0,3364,110330,2,80,106966,19,1054689,784,106,0,2,3516093,301093,6227,1169211,28694621,0,955181,0,81430,1202,84284,1,10094,0,0,85738,820222,1514,5,1763,12443,761,195,0,0,0,1391,10094,0,89365,354736,627169,890,34809342,0,1047
3d-morph,0,0,14,0,18,1,0,712,332,0,0,0,0,6,0,1,28,85,43200,1,29,0,0,0,0,0,76,0,0,461035,422,38,0,1,259671,216982,1181,1080519,3771397,0,2945,0,273,92,910,1,3622,0,0,216202,697658,549,1,470,44105,391,126,0,0,0,1109,3622,0,67273,267272,44503,460,5333970,0,594
fasta,115950,1,55999,0,1,71680,0,712,332,0,0,0,0,6,0,43468,45,5897,0,1,46,0,0,0,3,0,76,3,0,482164,433,58,0,2,278745,178424,242098,861320,8031843,0,516769,0,237249,224011,425051,1,3855,0,0,114471,467229,543,43468,144625,80959,415,151,0,0,0,1130,3855,0,68678,273092,294220,492,10995510,0,627
bits-in-byte,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,0,0,76,0,0,443149,409,22,0,3,351,90552,717981,76,4214663,0,2900,0,273,92,910,1,3384,0,0,89772,1667,519,1,451,642,379,126,0,0,0,1104,3384,0,66510,264388,1272,432,5027798,0,566
crypto-md5,36,20,0,0,14,1,0,712,332,0,0,0,0,7,0,1,28,157,3870,1,29,0,16,24,32,32,95,8,0,550433,481,17,0,2,62592,125881,5099,215,1485544,0,2936,0,321,46548,47549,1,4556,0,0,125065,172998,615,1,556,674,405,126,0,0,0,1128,4556,0,71562,284336,5415,499,1776685,0,637
deltablue,301,0,0,34644,1125,1,0,712,332,0,301,0,0,7,0,1,28,2448,2344,1226,1254,0,301,0,0,602,377,0,0,796780,556,26,0,2,48489,137280,12915,678,186496,0,495043,0,146120,93,3340,1,6624,0,0,122602,501512,6127,1,6151,23123,553,141,0,0,0,1227,6624,0,79070,314072,46004,582,1030454,0,726
recursive,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,0,0,76,0,0,453573,415,16,0,2,351,246440,1181,229326,719971,0,2900,0,273,92,910,1,3474,0,0,245660,247176,536,1,451,647,382,126,0,0,0,1106,3474,0,67076,266752,1272,432,1201444,0,565
base64,65542,5,8192,32772,1,32770,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,0,0,79,0,0,490777,443,22,0,2,131440,279499,25764,213083,1214948,0,101208,0,273,327799,492478,1,3847,0,0,213179,468651,571,1,98769,17039,391,126,0,0,0,1110,3847,0,69185,274904,140555,465,2786492,0,601
3d-raytrace,11763,2701,918,795,195,1,13243,712,332,1,920,13531,3182,67,4480,1,32,16062,947,1,33,4,2700,0,886,6280,8177,3,1,744715,625,33,0,3,537404,92574,47735,1552924,1852132,0,631702,0,85683,11916,42271,1,7529,0,0,70066,687377,854,1,40271,18122,454,204,0,0,0,1166,7529,0,80822,320684,87968,659,4854341,0,807
navier-stokes,0,0,2,3,2,1,0,712,332,0,0,0,0,6,0,1,28,196,1,1,29,0,0,196608,196628,2,76,18,0,579009,561,72,0,3,4669606,1488,99512,9785548,17939975,0,3369,0,277,92,914,1,5219,0,0,669,2144,592,1,549,698,428,128,0,0,0,1146,5219,0,75668,300508,394646,634,32500781,0,776
nbody,0,0,0,0,1,1,0,712,332,1,0,0,2,7,0,1,28,87,0,1,29,0,0,0,0,0,76,0,1,552677,502,29,0,1,95032,50645,1210,2927986,2173987,0,1435380,0,4790,94,914,1,4849,0,0,49833,1141710,663,1,486,338334,426,128,0,0,0,1137,4849,0,72733,289104,1279,531,6690038,0,671
nsieve-bits,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,10002,10003,0,76,1,0,448762,416,30,0,2,1001829,955,161180,5077,7147946,0,2901,0,273,92,910,1,3487,0,0,174,1669,521,1,454,643,380,126,0,0,0,1105,3487,0,67184,267056,21278,447,8321163,0,581
cordic,0,0,0,0,1,1,0,712,332,2,0,0,4,8,0,1,28,89,0,1,29,0,0,300000,600000,0,76,300000,2,498457,455,31,0,2,300361,76020,1191,1900312,5477716,0,2974,0,285,96,918,1,4086,0,0,75222,401748,575,1,459,667,394,130,0,0,0,1119,4086,0,70152,278788,1201286,486,7759873,0,623
splay,524506,0,8080,16239,16,1,0,712,332,0,0,0,0,6,8080,1,28,85,8001,1,29,0,0,145440,145440,0,8156,0,0,565794,469,124,0,1,72674,741682,369589,2032183,3612506,0,2287627,0,397063,258652,1321877,1,4648,0,0,659594,2102821,758,1,1568235,1497779,476,130,0,0,0,1155,4648,0,72030,286172,865153,594,11093853,0,732
spectral-norm,0,0,122240,0,67,1,0,712,332,0,0,0,0,6,0,1,28,85,270,1,29,0,0,0,0,0,76,0,0,458176,422,19,0,2,256741,123599,1181,1097828,2480483,0,2904,0,273,92,910,1,3626,0,0,122819,124330,529,1,541,650,384,126,0,0,0,1108,3626,0,67624,268884,123848,442,3964011,0,576
richards,0,0,0,28760,2,1,0,712,332,0,0,0,0,6,0,1,28,85,1,1,29,0,0,0,9,0,76,9,0,633245,485,16,0,3,5549,41527,34825,76,121795,0,296044,0,73986,92,910,1,5136,0,0,40672,285438,847,1,507,51408,526,134,0,0,0,1193,5136,0,73038,290364,30052,502,574804,0,641
bitwise-and,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,2,2,0,76,0,0,443777,408,29,0,1,351,951,1181,77,2402416,0,2900,0,273,92,910,1,3390,0,0,171,2401666,521,1,451,1200642,381,126,0,0,0,1104,3390,0,66268,263552,1276,438,2409151,0,571
fannkuch,240,0,0,173842,1,481,0,712,332,240,240,0,0,6,240,241,28,85,0,1,29,0,0,0,4,0,76,4,0,458715,430,36,0,2,2783356,2876,1421,556,7966274,0,4100,0,273,542,2110,1,3642,0,0,896,3111,528,241,939,643,380,126,0,0,0,1105,3642,0,67611,268892,176802,466,10761508,0,600
