,$rt_add,$rt_concatRope,$rt_div,$rt_eq,$rt_extArrTbl,$rt_getProp,$rt_gt,$rt_hasOwnProp,$rt_in,$rt_instanceof,$rt_intToStr,$rt_lt,$rt_mod,$rt_ns,$rt_numToStr,$rt_objGetProp,$rt_objSetProp,$rt_se,$rt_setArrElem,$rt_setArrLength,$rt_setProp,$rt_strToInt,$rt_strcat,$rt_toInt32,$rt_toNumber,$rt_toPrim,$rt_toString,$rt_toUint32,$rt_typeof,1 versions,code size (bytes),comp time (ms),exec time (ms),gc time (ms),involuntary context sw,is_array,is_closure,is_const,is_float64,is_int32,is_int64,is_object,is_rawptr,is_refptr,is_rope,is_string,max versions,num blocks,num call apply,num call fast,num call slow,num get prop,num get prop cache upd,num get prop host,num heap allocs,num set prop,num set prop cache upd,num set prop host,num shape flips,num shape known,num shape tests,num shapes,num versions,page faults,page reclaims,peak mem usage (KB),total prim calls,total time (ms),total type tests,voluntary context sw,wall time (ms)
partial-sums,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,31829,0,1,29,0,0,0,0,0,76,0,0,3329,471493,419,32,0,1,32095,159675,64234,1095860,1241838,0,161175,0,32011,31836,32654,2,3636,0,0,127152,700054,568,1,451,349886,424,126,0,0,0,1115,3943,0,66773,265528,33016,451,2851378,0,585
v8-crypto,477,3,147,9279,318,64227,0,712,332,0,0,0,7,10,0,5,28,106571,75604,1,148687,0,0,3364,110330,2,80,106966,19,9124,1068343,782,103,0,1,3456738,300907,5786,1028888,27757691,0,818520,0,81424,1086,84136,2,10094,0,0,85738,820222,1557,5,1763,12443,766,195,0,0,0,1391,11064,0,87890,348940,627169,886,33535176,0,1042
3d-morph,0,0,14,0,18,1,0,712,332,0,0,0,0,6,0,1,28,85,43200,1,29,0,0,0,0,0,76,0,0,3483,458022,413,33,0,2,259671,216981,746,432445,1085168,0,2500,0,267,92,910,2,3622,0,0,216202,697658,556,1,470,44105,392,126,0,0,0,1109,3761,0,66411,263972,44503,447,1998780,0,580
fasta,115950,1,55999,0,1,71680,0,712,332,0,0,0,0,6,0,43468,45,5897,0,1,46,0,0,0,3,0,76,3,0,3651,481103,428,45,0,2,207471,178420,241663,693322,1643346,0,516324,0,237239,224005,425045,2,3855,0,0,114471,467229,547,43468,144625,80959,417,151,0,0,0,1130,4059,0,67847,269812,294220,474,4366835,0,607
bits-in-byte,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,0,0,76,0,0,3274,438414,402,14,0,2,351,90551,746,76,717326,0,2455,0,267,92,910,2,3384,0,0,89772,1667,519,1,451,642,379,126,0,0,0,1104,3494,0,65681,261092,1272,417,812774,0,549
crypto-md5,36,20,0,0,14,1,0,712,332,0,0,0,0,7,0,1,28,157,3870,1,29,0,16,24,32,32,95,8,0,3638,608293,498,16,0,3,62502,125864,4662,214,545572,0,2475,0,315,46547,47530,2,4556,0,0,125065,172998,689,1,556,674,405,126,0,0,0,1128,5474,0,71376,283380,5415,514,835681,0,652
deltablue,301,0,0,34644,1125,1,0,712,332,0,301,0,0,7,0,1,28,2448,2344,1226,1254,0,301,0,0,602,377,0,0,6108,819853,552,21,0,2,42576,134034,11465,678,154363,0,444950,0,146113,93,3340,2,6624,0,0,122602,501512,1654,1,6151,23123,554,141,0,0,0,1227,7140,0,78012,309996,46004,573,937612,0,715
recursive,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,0,0,76,0,0,3364,448698,407,16,0,1,351,246439,746,114704,510441,0,2455,0,267,92,910,2,3474,0,0,245660,247176,536,1,451,647,382,126,0,0,0,1106,3584,0,66239,263440,1272,423,876405,0,556
base64,65542,5,8192,32772,1,32770,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,0,0,79,0,0,3564,496803,440,21,0,2,131440,279498,25327,188503,1188385,0,100763,0,267,327775,492454,2,3847,0,0,213179,468651,588,1,98769,17039,391,126,0,0,0,1110,4130,0,68433,272140,140555,461,2734412,0,596
3d-raytrace,11763,2701,918,795,195,1,13243,712,332,1,920,13531,3182,67,4480,1,32,16062,947,1,33,4,2700,0,886,6280,8177,3,1,6690,752346,624,32,0,2,327953,88802,47300,1313440,1429168,0,326258,0,85677,11916,41828,2,7529,0,0,70066,687377,905,1,40271,18122,464,204,0,0,0,1166,8368,0,79679,316096,87968,656,3672342,0,803
navier-stokes,0,0,2,3,2,1,0,712,332,0,0,0,0,6,0,1,28,196,1,1,29,0,0,196608,196628,2,76,18,0,4756,568225,561,66,0,3,4349001,1463,99073,9406888,15683822,0,2579,0,271,92,913,2,5219,0,0,669,2144,592,1,549,698,428,128,0,0,0,1146,5682,0,74808,297040,394646,627,29544102,0,768
nbody,0,0,0,0,1,1,0,712,332,1,0,0,2,7,0,1,28,87,0,1,29,0,0,0,0,0,76,0,1,4333,558892,500,28,0,3,95011,50619,775,2644065,1919613,0,1146587,0,4784,94,914,2,4849,0,0,49833,1141710,704,1,486,338334,432,128,0,0,0,1137,5365,0,72000,286088,1279,528,5862462,0,666
nsieve-bits,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,10002,10003,0,76,1,0,3320,444403,410,28,0,2,841833,953,160744,5077,6171061,0,2456,0,267,92,910,2,3487,0,0,174,1669,521,1,454,643,380,126,0,0,0,1105,3654,0,66383,264008,21278,438,7183393,0,571
cordic,0,0,0,0,1,1,0,712,332,2,0,0,4,8,0,1,28,89,0,1,29,0,0,300000,600000,0,76,300000,2,3934,489002,448,29,0,1,300359,76017,756,1700184,4450663,0,2512,0,279,96,918,2,4086,0,0,75222,401748,576,1,459,667,394,130,0,0,0,1119,4238,0,69169,274960,1201286,477,6531784,0,613
splay,524506,0,8080,16239,16,1,0,712,332,0,0,0,0,6,8080,1,28,85,8001,1,29,0,0,145440,145440,0,8156,0,0,4317,575143,465,124,0,2,40674,717200,369154,1989147,2908760,0,1854349,0,397057,258652,1321877,2,4648,0,0,659594,2102821,788,1,1568235,1497779,481,130,0,0,0,1155,4979,0,71159,282916,865153,589,9856870,0,727
spectral-norm,0,0,122240,0,67,1,0,712,332,0,0,0,0,6,0,1,28,85,270,1,29,0,0,0,0,0,76,0,0,3425,455055,416,17,0,2,256127,123598,746,731020,1249351,0,2459,0,267,92,910,2,3626,0,0,122819,124330,531,1,541,650,384,126,0,0,0,1108,3827,0,66824,265584,123848,434,2364570,0,566
richards,0,0,0,28760,2,1,0,712,332,0,0,0,0,6,0,1,28,85,1,1,29,0,0,0,9,0,76,9,0,4947,630604,478,16,0,1,5547,41494,34390,76,113503,0,178718,0,73980,92,910,2,5136,0,0,40672,285438,850,1,507,51408,526,134,0,0,0,1193,5325,0,71966,285960,30052,494,448710,0,632
bitwise-and,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,2,2,0,76,0,0,3279,439436,403,29,0,3,351,950,746,77,2400530,0,2455,0,267,92,910,2,3390,0,0,171,2401666,521,1,451,1200642,381,126,0,0,0,1104,3501,0,65443,260260,1276,432,2406378,0,565
