,$rt_add,$rt_concatRope,$rt_div,$rt_eq,$rt_extArrTbl,$rt_getProp,$rt_gt,$rt_hasOwnProp,$rt_in,$rt_instanceof,$rt_intToStr,$rt_lt,$rt_mod,$rt_ns,$rt_numToStr,$rt_objGetProp,$rt_objSetProp,$rt_se,$rt_setArrElem,$rt_setArrLength,$rt_setProp,$rt_strToInt,$rt_strcat,$rt_toInt32,$rt_toNumber,$rt_toPrim,$rt_toString,$rt_toUint32,$rt_typeof,1 versions,10 versions,2 versions,3 versions,4 versions,5 versions,6 versions,7 versions,8 versions,9 versions,code size (bytes),comp time (ms),exec time (ms),gc time (ms),involuntary context sw,is_array,is_closure,is_const,is_float64,is_int32,is_int64,is_object,is_rawptr,is_refptr,is_rope,is_string,max versions,num blocks,num call apply,num call fast,num call slow,num get prop,num get prop cache upd,num get prop host,num heap allocs,num set prop,num set prop cache upd,num set prop host,num shape flips,num shape known,num shape tests,num shapes,num versions,page faults,page reclaims,peak mem usage (KB),total prim calls,total time (ms),total type tests,voluntary context sw,wall time (ms)
partial-sums,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,31829,0,1,29,0,0,0,0,0,76,0,0,3526,0,97,13,0,0,0,0,0,0,454506,414,30,0,2,32056,159675,64005,559100,615822,0,161035,0,31940,31836,32654,3,3636,0,0,127152,700054,546,1,451,349886,414,126,0,0,0,1115,3759,0,66520,264552,33016,444,1688123,0,577
v8-crypto,477,3,147,9279,318,64227,0,712,332,0,0,0,7,10,0,5,28,106571,75604,1,148687,0,0,3364,110330,2,80,106966,19,9153,0,715,97,54,46,26,3,0,0,1055086,783,52,0,3,364182,300907,5109,483952,3810771,0,543910,0,81347,1086,84136,7,10094,0,0,85738,820222,1554,5,1763,12443,770,195,0,0,0,1391,11497,0,87770,348272,627169,836,5675400,0,990
3d-morph,0,0,14,0,18,1,0,712,332,0,0,0,0,6,0,1,28,85,43200,1,29,0,0,0,0,0,76,0,0,3470,0,139,13,0,0,0,0,0,0,454810,413,33,0,2,43647,216981,517,432432,1084944,0,2360,0,196,92,910,3,3622,0,0,216202,697658,553,1,470,44105,391,126,0,0,0,1109,3787,0,66365,263788,44503,446,1782079,0,579
fasta,115950,1,55999,0,1,71680,0,712,332,0,0,0,0,6,0,43468,45,5897,0,1,46,0,0,0,3,0,76,3,0,3657,0,151,41,3,3,0,0,0,0,475253,428,43,0,1,68364,177486,66276,569310,1051983,0,108982,0,6012,172466,373489,5,3855,0,0,114471,467229,545,43468,144625,80959,416,151,0,0,0,1130,4109,0,67777,269348,294220,472,2594368,0,606
bits-in-byte,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,0,0,76,0,0,3277,0,94,13,0,0,0,0,0,0,435807,402,13,0,2,312,90551,517,76,89902,0,2315,0,196,92,910,3,3384,0,0,89772,1667,519,1,451,642,379,126,0,0,0,1104,3504,0,65624,260896,1272,416,184871,0,548
crypto-md5,36,20,0,0,14,1,0,712,332,0,0,0,0,7,0,1,28,157,3870,1,29,0,16,24,32,32,95,8,0,3680,0,851,25,0,0,0,0,0,0,598003,492,15,0,2,337,125864,566,214,292963,0,2335,0,244,15604,16557,3,4556,0,0,125065,172998,692,1,556,674,405,126,0,0,0,1128,5457,0,70980,281904,5415,508,454684,0,645
deltablue,301,0,0,34644,1125,1,0,712,332,0,301,0,0,7,0,1,28,2448,2344,1226,1254,0,301,0,0,602,377,0,0,6029,0,484,57,39,0,13,0,2,0,839388,556,21,0,2,42537,133736,10932,678,121686,0,392403,0,145942,93,3340,8,6624,0,0,122602,501512,1707,1,6151,23123,559,141,0,0,0,1227,7418,0,78034,310036,46004,577,851347,0,720
recursive,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,0,0,76,0,0,3370,0,91,13,0,0,0,0,0,0,446074,412,16,0,2,312,246439,517,114704,510217,0,2315,0,196,92,910,3,3474,0,0,245660,247176,536,1,451,647,382,126,0,0,0,1106,3591,0,66174,262988,1272,429,875702,0,562
base64,65542,5,8192,32772,1,32770,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,0,0,79,0,0,3650,0,181,16,0,0,0,0,0,0,485889,436,20,0,1,98629,279498,25096,188503,581980,0,100623,0,196,180331,345010,3,3847,0,0,213179,468651,580,1,98769,17039,391,126,0,0,0,1110,4060,0,68261,271400,140555,457,1799866,0,591
3d-raytrace,11763,2701,918,795,195,1,13243,712,332,1,920,13531,3182,67,4480,1,32,16062,947,1,33,4,2700,0,886,6280,8177,3,1,6802,0,539,120,62,0,4,0,2,0,760457,624,30,0,2,199446,87029,45180,788355,834410,0,144827,0,83813,11916,40935,8,7529,0,0,70066,687377,944,1,40271,18122,465,204,0,0,0,1166,8528,0,79565,315608,87968,655,2235911,0,801
