,$rt_add,$rt_concatRope,$rt_div,$rt_eq,$rt_extArrTbl,$rt_getProp,$rt_gt,$rt_hasOwnProp,$rt_in,$rt_instanceof,$rt_intToStr,$rt_lt,$rt_mod,$rt_ns,$rt_numToStr,$rt_objGetProp,$rt_objSetProp,$rt_se,$rt_setArrElem,$rt_setArrLength,$rt_setProp,$rt_strToInt,$rt_strcat,$rt_toInt32,$rt_toNumber,$rt_toPrim,$rt_toString,$rt_toUint32,$rt_typeof,1 versions,2 versions,3 versions,4 versions,5 versions,code size (bytes),comp time (ms),exec time (ms),gc time (ms),involuntary context sw,is_array,is_closure,is_const,is_float64,is_int32,is_int64,is_object,is_rawptr,is_refptr,is_rope,is_string,max versions,num blocks,num call apply,num call fast,num call slow,num get prop,num get prop cache upd,num get prop host,num heap allocs,num set prop,num set prop cache upd,num set prop host,num shape flips,num shape known,num shape tests,num shapes,num versions,page faults,page reclaims,peak mem usage (KB),total prim calls,total time (ms),total type tests,voluntary context sw,wall time (ms)
partial-sums,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,31829,0,1,29,0,0,0,0,0,76,0,0,3526,97,13,0,0,454506,414,30,0,3,32056,159675,64005,559100,615822,0,161035,0,31940,31836,32654,3,3636,0,0,127152,700054,546,1,451,349886,414,126,0,0,0,1115,3759,0,66518,264552,33016,444,1688123,0,577
v8-crypto,477,3,147,9279,318,64227,0,712,332,0,0,0,7,10,0,5,28,106571,75604,1,148687,0,0,3364,110330,2,80,106966,19,9147,710,110,52,71,1054293,784,52,0,2,364511,300907,5109,484064,4250809,0,543914,0,81347,1086,84136,6,10094,0,0,85738,820222,1553,5,1763,12443,769,195,0,0,0,1391,11484,0,87753,348304,627169,837,6115883,0,992
3d-morph,0,0,14,0,18,1,0,712,332,0,0,0,0,6,0,1,28,85,43200,1,29,0,0,0,0,0,76,0,0,3470,139,13,0,0,454810,413,33,0,2,43647,216981,517,432432,1084944,0,2360,0,196,92,910,3,3622,0,0,216202,697658,553,1,470,44105,391,126,0,0,0,1109,3787,0,66365,263788,44503,446,1782079,0,580
fasta,115950,1,55999,0,1,71680,0,712,332,0,0,0,0,6,0,43468,45,5897,0,1,46,0,0,0,3,0,76,3,0,3657,151,41,3,3,475253,427,43,0,2,68364,177486,66276,569310,1051983,0,108982,0,6012,172466,373489,5,3855,0,0,114471,467229,545,43468,144625,80959,416,151,0,0,0,1130,4109,0,67775,269344,294220,470,2594368,0,605
bits-in-byte,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,0,0,76,0,0,3277,94,13,0,0,435807,402,13,0,2,312,90551,517,76,89902,0,2315,0,196,92,910,3,3384,0,0,89772,1667,519,1,451,642,379,126,0,0,0,1104,3504,0,65625,260896,1272,416,184871,0,548
crypto-md5,36,20,0,0,14,1,0,712,332,0,0,0,0,7,0,1,28,157,3870,1,29,0,16,24,32,32,95,8,0,3680,851,25,0,0,598003,494,15,0,2,337,125864,566,214,292963,0,2335,0,244,15604,16557,3,4556,0,0,125065,172998,692,1,556,674,405,126,0,0,0,1128,5457,0,70978,281900,5415,510,454684,0,647
deltablue,301,0,0,34644,1125,1,0,712,332,0,301,0,0,7,0,1,28,2448,2344,1226,1254,0,301,0,0,602,377,0,0,6017,500,47,48,0,839878,555,21,0,3,42537,133736,10932,678,122500,0,393418,0,145942,93,3340,6,6624,0,0,122602,501512,1708,1,6151,23123,559,141,0,0,0,1227,7422,0,78046,310032,46004,577,853176,0,720
recursive,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,0,0,76,0,0,3370,91,13,0,0,446074,407,16,0,1,312,246439,517,114704,510217,0,2315,0,196,92,910,3,3474,0,0,245660,247176,536,1,451,647,382,126,0,0,0,1106,3591,0,66175,262988,1272,424,875702,0,556
base64,65542,5,8192,32772,1,32770,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,0,0,0,79,0,0,3650,181,16,0,0,485889,437,20,0,2,98629,279498,25096,188503,581980,0,100623,0,196,180331,345010,3,3847,0,0,213179,468651,580,1,98769,17039,391,126,0,0,0,1110,4060,0,68261,271400,140555,457,1799866,0,592
3d-raytrace,11763,2701,918,795,195,1,13243,712,332,1,920,13531,3182,67,4480,1,32,16062,947,1,33,4,2700,0,886,6280,8177,3,1,6795,556,117,22,37,761758,625,30,0,2,199475,87029,45224,788433,834620,0,144959,0,83857,11916,40935,6,7529,0,0,70066,687377,947,1,40271,18122,465,204,0,0,0,1166,8543,0,79579,315604,87968,656,2236448,0,802
navier-stokes,0,0,2,3,2,1,0,712,332,0,0,0,0,6,0,1,28,196,1,1,29,0,0,196608,196628,2,76,18,0,4673,509,37,0,0,559332,562,43,0,1,229921,1463,544,3399188,2594119,0,2376,0,200,92,913,3,5219,0,0,669,2144,592,1,549,698,428,128,0,0,0,1146,5802,0,74619,296296,394646,606,6228816,0,747
nbody,0,0,0,0,1,1,0,712,332,1,0,0,2,7,0,1,28,87,0,1,29,0,0,0,0,0,76,0,1,4568,256,25,0,0,537779,492,23,0,2,94972,50619,546,1040873,658129,0,142141,0,4713,94,914,3,4849,0,0,49833,1141710,682,1,486,338334,426,128,0,0,0,1137,5155,0,71541,284324,1279,515,1993001,0,653
nsieve-bits,0,0,0,0,1,1,0,712,332,0,0,0,0,6,0,1,28,85,0,1,29,0,0,10002,10003,0,76,1,0,3360,114,13,0,0,440310,408,16,0,3,313,953,518,5077,598548,0,2316,0,196,92,910,3,3487,0,0,174,1669,521,1,454,643,380,126,0,0,0,1105,3627,0,66284,263564,21278,425,608923,0,557
cordic,0,0,0,0,1,1,0,712,332,2,0,0,4,8,0,1,28,89,0,1,29,0,0,300000,600000,0,76,300000,2,3942,131,13,0,0,485349,447,24,0,1,300320,76017,527,700184,1425439,0,2367,0,208,96,918,3,4086,0,0,75222,401748,576,1,459,667,394,130,0,0,0,1119,4243,0,69084,274516,1201286,471,2506076,0,606
splay,524506,0,8080,16239,16,1,0,712,332,0,0,0,0,6,8080,1,28,85,8001,1,29,0,0,145440,145440,0,8156,0,0,4406,218,24,0,0,564485,463,122,0,2,40635,717200,368925,1638859,2497600,0,987503,0,396986,258652,1321877,3,4648,0,0,659594,2102821,780,1,1568235,1497779,480,130,0,0,0,1155,4914,0,70988,282208,865153,585,8228237,0,722
