,code size (bytes),comp time (ms),exec time (ms),gc time (ms),involuntary context sw,page faults,page reclaims,peak mem usage (KB),total time (ms),voluntary context sw,wall time (ms)
partial-sums,431830.0000000003,421.49899225518163,30.000000000000007,1,1.5157165665103982,1,67459.89999340358,268264.7999952288,451.89879532717015,1,585.9986353898386
v8-crypto,968464.0000000007,780.7995134637354,66.00000000000001,1,3.3658654363385985,1,89341.89999725779,354680.39999797026,847.0991209236698,1,1003.5990835214309
3d-morph,429864.0000000003,419.09941532163333,35.00000000000001,1,1.6917263851493571,1,67249.6999969517,267241.19999371376,454.7996042596054,1,588.5994561743443
fasta,448926.00000000035,431.8994328236874,47.099055259186855,1,1.578436529997654,1,68665.59999679613,273064.7999953127,479.39974975664035,1,614.3993163414535
bits-in-byte,413688.0000000003,407.89964449580725,17.000000000000004,1,1.8131474454755332,1,66496.79999729314,264361.5999927374,425.59971795665655,1,558.699811973938
crypto-md5,511438.00000000035,481.1996267621377,15.392272681452159,1,1.5336746868385573,1,71538.99999580653,284049.19999408576,497.09950788333356,1,634.9995280534779
deltablue,735830.0000000006,554.499413885136,25.000000000000004,1,1.8131474454755332,1,79048.69999614169,314040.79999592435,580.199345384529,1,724.0992471946468
recursive,423304.0000000003,412.39946733485465,16.000000000000004,1,1.4727333575346888,1,67064.89999634687,266720.39999730076,429.1998137802003,1,562.5994316662726
base64,457054.00000000035,442.3992769562638,20.29489390844811,1,1.8131474454755332,1,69171.99999566302,274876.39999738085,463.2993421799307,1,598.5992984285081
3d-raytrace,681748.0000000005,623.4989973351553,30.197385452930043,1,1.888175022589804,1,80804.59999851498,320645.59999401233,654.2990756450439,1,802.0993207256146
navier-stokes,534721.0000000003,561.1998575498307,52.000000000000014,1,1.9663072216374342,1,75646.8999954394,300485.9999933443,613.2998288694241,1,755.5997089525445
nbody,510162.00000000035,499.1996393904386,24.796720982064162,1,1.8131474454755332,1,72718.39999834985,288812.3999975073,524.2996088855457,1,663.4995101725949
nsieve-bits,418530.0000000003,414.39946990181215,20.000000000000004,1,1.4727333575346888,1,67171.49999665043,267024.79999520665,434.79889777218625,1,568.4987259458259
cordic,462227.00000000035,454.7991639230747,26.000000000000004,1,1.6917263851493571,1,70140.79999600808,278761.5999931126,481.1992107884354,1,617.7993846194341
splay,524408.0000000003,468.1996155117669,119.89465453395823,1,1.7617295898720438,1,72012.19999750047,286145.9999930108,588.7983376843403,1,726.9983505095422
spectral-norm,426805.0000000003,420.5994772982707,17.000000000000004,1,1.4727333575346888,1,67611.79999733779,268856.7999952393,438.29976058364343,1,572.3994411201221
richards,588232.0000000005,483.199214053069,15.49193338482967,1,1.888175022589804,1,73025.09999527564,290336.7999955916,498.9993987967503,1,637.7995611084972
bitwise-and,414332.0000000003,407.09915232343343,26.000000000000004,1,1.6917263851493571,1,66256.59999667964,263524.399997268,433.7995851039377,1,567.0993915291106
fannkuch,427344.0000000003,427.09919312114,29.09848133904799,1,1.888175022589804,1,67598.89999341714,268865.1999937517,457.0992460229366,1,591.3992897507786
crypto-sha1,457141.00000000035,444.399280209027,15.000000000000002,1,1.3741088103166372,1,69720.5999968446,276944.79999537836,459.7989576134182,1,595.4987836584414
v8-raytrace,898181.0000000007,663.9993975899517,86.49393005198044,1,1.943283315726147,1,83412.49999850147,331208.79999613564,750.7984262222335,1,901.1985783770505
3bits-byte,413932.0000000003,408.79955973378526,14.000000000000002,1,1.6437518295172258,1,66599.59999669674,264893.599992752,423.39971666919195,1,556.8995601156989
earley-boyer,3317132.000000003,5448.668256110144,117.49809227905887,1,8.430694958901878,1,203937.19999666576,796027.9999959806,5566.569644180834,1,5847.169857930808
3d-cube,627859.0000000005,558.39835682573,28.000000000000004,1,2.023695881835618,1,75502.0999967551,299910.3999935983,586.9988098080994,1.0717734625362931,729.9989052299132
nsieve,416248.0000000003,412.09843896734697,17.000000000000004,1,1.943283315726147,1,66927.69999843118,266180.79999519145,429.29882684080667,1,562.6987506718928
binary-trees,439495.0000000003,418.8984607902505,15.293253102429562,1,1.5157165665103982,1,67405.79999584612,268045.59999283723,434.79866693274573,1,568.8988665257583
